state,times
1100011010,3.494866508708533e-10
1100011011,2.552426968453219e-12
1100011100,4.33759053614657e-07
1100011101,1.249647761422093e-11
1100011110,1.0708159651413033e-06
1100011111,7.820554922101804e-09
1100100000,5.984484836490938e-07
1100100001,1.724113425844272e-11
1100100010,9.56261819484222e-10
1100100011,6.983924710347875e-12
1100100100,1.953181154164648e-10
1100100101,5.6270605457425684e-15
1100100110,4.821795753341596e-10
1100100111,3.521531219156706e-12
1100101000,2.1300898907721796e-10
1100101001,6.136729692323675e-15
1100101010,3.4036741511891295e-13
1100101011,2.4858259031280204e-15
1100101100,4.2244087862973544e-10
1100101101,1.2170404142891014e-14
1100101110,1.0428749172966074e-09
1100101111,7.616491379566105e-12
1100110000,3.98477036996754e-07
1100110001,1.1480012534873249e-11
1100110010,6.367271149184313e-10
1100110011,4.650247600626615e-12
1100110100,1.3005260440860143e-10
1100110101,3.7467793377910954e-15
1100110110,3.2105936221599785e-10
1100110111,2.3448122340367402e-12
1100111000,1.8423828715487504e-07
1100111001,5.30785377717706e-12
1100111010,2.9439466304451727e-10
1100111011,2.150070325865463e-12
1100111100,3.653826265272252e-07
1100111101,1.0526571779822848e-11
1100111110,9.020158694328965e-07
1100111111,6.58774698654825e-09
1101000000,2.4128808588437196e-07
1101000001,6.951442600921384e-12
1101000010,3.8555463056858237e-10
1101000011,2.8158444233079596e-12
1101000100,7.875019403510687e-11
1101000101,2.2687711730151516e-15
1101000110,1.9440969434077186e-10
1101000111,1.4198440642229323e-12
1101001000,8.588296679642666e-11
1101001001,2.4742643711314085e-15
1101001010,1.3723253435396744e-13
1101001011,1.0022586578383727e-15
1101001100,1.7032368497678204e-10
1101001101,4.906977961029129e-15
1101001110,4.2047611362796756e-10
1101001111,3.070888600008416e-12
1101010000,2.7896770016865107e-10
1101010001,8.036981801756778e-15
1101010010,4.4576294840613877e-13
1101010011,3.255567467924536e-15
1101010100,9.104784613499927e-14
1101010101,2.623063107426983e-18
